C-605 STRUT 길이/각도 검토
========================================================================================================================

STRUT count: 85

length >= 1000 후보: 33
length < 1000 후보: 52

[긴 STRUT 후보 length >= 1000]
040 | len=300.0 | angle=151.30 | center=(-15813491.6, 3340377.2) | type=LINE
041 | len=300.0 | angle=61.30 | center=(-15774439.5, 3351798.2) | type=LINE
042 | len=300.0 | angle=-28.70 | center=(-15806730.9, 3336676.1) | type=LINE
043 | len=300.0 | angle=-118.70 | center=(-15778140.6, 3345037.5) | type=LINE
044 | len=300.0 | angle=61.30 | center=(-15809358.4, 3336331.3) | type=LINE
045 | len=300.0 | angle=61.30 | center=(-15811804.9, 3336058.3) | type=LINE
046 | len=300.0 | angle=61.30 | center=(-15812927.7, 3339897.4) | type=LINE
047 | len=300.0 | angle=45.00 | center=(-15974745.1, 3305390.1) | type=LINE
048 | len=300.0 | angle=151.30 | center=(-15779772.4, 3344983.9) | type=LINE
049 | len=300.0 | angle=151.30 | center=(-15775741.3, 3346162.8) | type=LINE
050 | len=300.0 | angle=-118.70 | center=(-15787304.8, 3501215.8) | type=LINE
051 | len=300.0 | angle=151.30 | center=(-15774656.1, 3351090.2) | type=LINE
052 | len=300.0 | angle=151.30 | center=(-15773533.3, 3347251.1) | type=LINE
