토질/암질/굴착심도/EL CAD 문자 검토
============================================================================================================================================

============================================================================================================================================
FILE: C-610 굴착계획 단면도 (5).dxf
hit count: 36

y=3030332.7 | x=-15410159.3 | layer=C-NOTE | text=실트질모래
y=3029076.5 | x=-15410159.3 | layer=C-NOTE | text=점토질모래
y=3027870.2 | x=-15409504.0 | layer=C-NOTE | text=풍화토
y=3026643.4 | x=-15409497.1 | layer=C-NOTE | text=풍화암


============================================================================================================================================
FILE: C-612 굴착계획 전개도 (1).dxf
hit count: 35

y=3097095.5 | x=-15244584.3 | layer=-$$범례TEXT | text=■ 주상도 범례
y=3093509.6 | x=-15244172.6 | layer=C-NOTE | text=실트질모래
y=3092253.4 | x=-15244172.6 | layer=C-NOTE | text=점토질모래
y=3091047.0 | x=-15243517.3 | layer=C-NOTE | text=풍화토
y=3089820.2 | x=-15243510.4 | layer=C-NOTE | text=풍화암
y=3060004.8 | x=-15175236.4 | layer=-$$굴착심도 | text=EL(+)40.50
y=3059694.8 | x=-15160021.4 | layer=주상도 | text=EL.(+) 40.162
y=3059504.8 | x=-15205183.3 | layer=-$$굴착심도 | text=EL(+)40.00
y=3059004.8 | x=-15231475.9 | layer=-$$굴착심도 | text=EL(+)39.50
y=3058524.2 | x=-15202353.1 | layer=주상도 | text=EL(+)39.46m
y=3058524.2 | x=-15164713.1 | layer=주상도 | text=EL(+)39.46m
y=3058242.6 | x=-15161341.0 | layer=Layer | text=매립층
y=3058021.8 | x=-15197661.4 | layer=주상도 | text=EL.(+) 38.489
y=3057119.6 | x=-15198981.0 | layer=Layer | text=매립층
y=3056392.6 | x=-15161341.0 | layer=Layer | text=퇴적층
y=3055519.6 | x=-15198981.0 | layer=Layer | text=퇴적층
y=3054594.8 | x=-15175236.4 | layer=-$$굴착심도 | text=EL(+)35.09
y=3054544.8 | x=-15205183.3 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054544.8 | x=-15160186.4 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054544.8 | x=-15231475.9 | layer=-$$굴착심도 | text=EL(+)35.04
y=3053092.6 | x=-15161341.0 | layer=Layer | text=퇴적층
y=3052169.6 | x=-15198981.0 | layer=Layer | text=퇴적층
y=3049219.6 | x=-15198981.0 | layer=Layer | text=풍화암
y=3048942.6 | x=-15161341.0 | layer=Layer | text=풍화암
y=3042323.2 | x=-15231291.8 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3042323.2 | x=-15178543.0 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3041862.8 | x=-15239801.8 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3041862.8 | x=-15221308.7 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3041862.8 | x=-15192383.3 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3041862.8 | x=-15168808.7 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3033392.0 | x=-15251007.4 | layer=C-NOTE | text=1. 본 설계는 대표 주상도를 기준으로여 설계하였으므로, 시험천공에 따른 지층조건이 상이 할 경우 재검토를 실시하여야 한다.
y=3032392.0 | x=-15251007.4 | layer=C-NOTE | text=2. 착공 전에 대지경계선, 지하층 구조물선, 지반고 등에 대해 현황측량을 반드시 실시하여 설계도면과의 상이점을 검토 후 착공하여야 한다.
y=3032392.0 | x=-15209749.3 | layer=C-NOTE | text=11. 굴착시 계측을 통하여 공사중 배면지반 및 흙막이 벽체의 과도한 변형조짐이 예상 될 경우 즉시 공사를 중단하고 되메우기 또는 보강
y=3029392.0 | x=-15251007.4 | layer=C-NOTE | text=4. 흙막이벽체의 근입깊이는 최소설계 근입깊이를 확보하여야 하며, 지지층에 확실하게 설치될 수 있도록 관리하여야 한다.
y=3026392.0 | x=-15209749.3 | layer=C-NOTE | text=14. 흙막이 벽체 천공시 천공기록을 전개도상에 표기하여 설계에 반영된 지층조건과의 비교를 통해 토목계획의 적정성을 확인하여야 한다.


============================================================================================================================================
FILE: C-613 굴착계획 전개도 (2).dxf
hit count: 47

y=3097095.5 | x=-15118434.3 | layer=-$$범례TEXT | text=■ 주상도 범례
y=3093509.6 | x=-15118022.6 | layer=C-NOTE | text=실트질모래
y=3092253.4 | x=-15118022.6 | layer=C-NOTE | text=점토질모래
y=3091047.0 | x=-15117367.3 | layer=C-NOTE | text=풍화토
y=3089820.2 | x=-15117360.4 | layer=C-NOTE | text=풍화암
y=3060505.4 | x=-15065249.9 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060505.4 | x=-15038076.3 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060504.9 | x=-15109923.7 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060504.8 | x=-15087252.4 | layer=-$$굴착심도 | text=EL(+)41.00
y=3058569.8 | x=-15030812.0 | layer=주상도 | text=EL.(+) 39.037
y=3058524.2 | x=-15086199.2 | layer=주상도 | text=EL(+)39.46m
y=3058524.2 | x=-15035503.8 | layer=주상도 | text=EL(+)39.46m
y=3057917.6 | x=-15032131.7 | layer=Layer | text=매립층
y=3057896.8 | x=-15054983.5 | layer=주상도 | text=EL.(+) 38.364
y=3057896.8 | x=-15081507.5 | layer=주상도 | text=EL.(+) 38.364
y=3057294.6 | x=-15056303.2 | layer=Layer | text=매립층
y=3057294.6 | x=-15082827.1 | layer=Layer | text=매립층
y=3056667.6 | x=-15032131.7 | layer=Layer | text=퇴적층
y=3055544.6 | x=-15056303.2 | layer=Layer | text=퇴적층
y=3055544.6 | x=-15082827.1 | layer=Layer | text=퇴적층
y=3054944.8 | x=-15038076.3 | layer=-$$굴착심도 | text=EL(+)35.44
y=3054594.8 | x=-15109923.7 | layer=-$$굴착심도 | text=EL(+)35.09
y=3054544.8 | x=-15087252.4 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054317.6 | x=-15032131.7 | layer=Layer | text=퇴적층
y=3053544.6 | x=-15056303.2 | layer=Layer | text=퇴적층
y=3053544.6 | x=-15082827.1 | layer=Layer | text=퇴적층
y=3051944.8 | x=-15078565.9 | layer=-$$굴착심도 | text=EL(+)32.44
y=3051944.8 | x=-15065250.0 | layer=-$$굴착심도 | text=EL(+)32.44
y=3051794.6 | x=-15056303.2 | layer=Layer | text=풍화토
y=3051794.6 | x=-15082827.1 | layer=Layer | text=풍화토
y=3051567.6 | x=-15032131.7 | layer=Layer | text=풍화토
y=3050444.6 | x=-15056303.2 | layer=Layer | text=풍화암
y=3050444.6 | x=-15082827.1 | layer=Layer | text=풍화암
y=3049717.6 | x=-15032131.7 | layer=Layer | text=풍화암
y=3042323.2 | x=-15115534.3 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3042323.2 | x=-15079866.8 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3042323.2 | x=-15050186.2 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041862.8 | x=-15088769.7 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041862.8 | x=-15058950.1 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041862.8 | x=-15099985.3 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3041862.8 | x=-15067006.3 | layer=-$$TEXT | text=시공하한선 : EL(+)30.44m
y=3041862.8 | x=-15043052.7 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3033392.0 | x=-15124857.4 | layer=C-NOTE | text=1. 본 설계는 대표 주상도를 기준으로여 설계하였으므로, 시험천공에 따른 지층조건이 상이 할 경우 재검토를 실시하여야 한다.
y=3032392.0 | x=-15124857.4 | layer=C-NOTE | text=2. 착공 전에 대지경계선, 지하층 구조물선, 지반고 등에 대해 현황측량을 반드시 실시하여 설계도면과의 상이점을 검토 후 착공하여야 한다.
y=3032392.0 | x=-15083599.3 | layer=C-NOTE | text=11. 굴착시 계측을 통하여 공사중 배면지반 및 흙막이 벽체의 과도한 변형조짐이 예상 될 경우 즉시 공사를 중단하고 되메우기 또는 보강
y=3029392.0 | x=-15124857.4 | layer=C-NOTE | text=4. 흙막이벽체의 근입깊이는 최소설계 근입깊이를 확보하여야 하며, 지지층에 확실하게 설치될 수 있도록 관리하여야 한다.
y=3026392.0 | x=-15083599.3 | layer=C-NOTE | text=14. 흙막이 벽체 천공시 천공기록을 전개도상에 표기하여 설계에 반영된 지층조건과의 비교를 통해 토목계획의 적정성을 확인하여야 한다.


============================================================================================================================================
FILE: C-614 굴착계획 전개도 (3).dxf
hit count: 34

y=3097095.5 | x=-14992284.3 | layer=-$$범례TEXT | text=■ 주상도 범례
y=3093509.6 | x=-14991872.6 | layer=C-NOTE | text=실트질모래
y=3092253.4 | x=-14991872.6 | layer=C-NOTE | text=점토질모래
y=3091047.0 | x=-14991217.3 | layer=C-NOTE | text=풍화토
y=3089820.2 | x=-14991210.4 | layer=C-NOTE | text=풍화암
y=3060505.4 | x=-14933874.2 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060504.7 | x=-14967913.2 | layer=-$$굴착심도 | text=EL(+)41.00
y=3058653.8 | x=-14926124.7 | layer=주상도 | text=EL.(+) 39.121
y=3058524.2 | x=-14930816.5 | layer=주상도 | text=EL(+)39.46m
y=3058135.8 | x=-14957253.2 | layer=주상도 | text=EL.(+) 38.603
y=3058001.6 | x=-14927444.4 | layer=Layer | text=매립층
y=3057483.6 | x=-14958572.9 | layer=Layer | text=매립층
y=3056751.6 | x=-14927444.4 | layer=Layer | text=퇴적층
y=3056233.6 | x=-14958572.9 | layer=Layer | text=퇴적층
y=3055401.6 | x=-14927444.4 | layer=Layer | text=퇴적층
y=3054883.6 | x=-14958572.9 | layer=Layer | text=퇴적층
y=3054594.8 | x=-14933874.3 | layer=-$$굴착심도 | text=EL(+)35.09
y=3054544.8 | x=-14994408.8 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054544.8 | x=-14967913.2 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054544.8 | x=-14914201.2 | layer=-$$굴착심도 | text=EL(+)35.04
y=3053901.6 | x=-14927444.4 | layer=Layer | text=퇴적층
